filename,S,PT,Gr,PR,PM,BF,BG,BR,BH,BV,FR,FG,FH,FV,Tick,Bandicoots,Invaders,Foxes,Grass_Health_Index,Total_Bandicoots_Eaten,Trap_Deaths,Old_Age_Deaths,Hunger_Deaths,regime
Run_S10_PT0_Gr25_PR24_PM195_BF10_BG18_BR10_BH11_BV1.1_FR25_FG31_FH61_FV2.0_IF7_IG14_IR12_IH12_IV2.8.csv,10,0,25,24,195,10,18,10,11,1.1,25,31,61,2.0,999.0,1531.0,0.0,0.0,40.2,6234.0,0.0,2388.0,24592.0,1
Run_S10_PT0_Gr61_PR11_PM226_BF9_BG7_BR15_BH2_BV0.4_FR16_FG31_FH21_FV0.5_IF5_IG16_IR13_IH84_IV2.7.csv,10,0,61,11,226,9,7,15,2,0.4,16,31,21,0.5,999.0,505.0,0.0,63.0,453.22,4096.0,0.0,2307.0,5212.0,2
Run_S10_PT0_Gr66_PR8_PM62_BF3_BG7_BR11_BH8_BV2.1_FR21_FG27_FH40_FV2.5_IF9_IG2_IR17_IH45_IV1.8.csv,10,0,66,8,62,3,7,11,8,2.1,21,27,40,2.5,999.0,543.0,0.0,323.0,1038.19,9125.0,0.0,2760.0,4488.0,2
Run_S10_PT0_Gr70_PR23_PM146_BF5_BG8_BR11_BH9_BV0.6_FR13_FG12_FH81_FV2.2_IF7_IG11_IR19_IH70_IV1.0.csv,10,0,70,23,146,5,8,11,9,0.6,13,12,81,2.2,999.0,953.0,0.0,251.0,965.42,22217.0,0.0,2289.0,12505.0,2
Run_S10_PT0_Gr71_PR22_PM129_BF6_BG11_BR10_BH11_BV2.0_FR29_FG12_FH99_FV0.8_IF6_IG5_IR14_IH61_IV1.2.csv,10,0,71,22,129,6,11,10,11,2.0,29,12,99,0.8,999.0,1170.0,0.0,469.0,323.22,52134.0,0.0,6724.0,18638.0,2
Run_S10_PT0_Gr78_PR20_PM240_BF9_BG10_BR15_BH2_BV2.6_FR20_FG26_FH98_FV1.5_IF5_IG6_IR17_IH99_IV2.8.csv,10,0,78,20,240,9,10,15,2,2.6,20,26,98,1.5,999.0,0.0,0.0,0.0,2902.0,3101.0,0.0,647.0,2008.0,0
Run_S10_PT0_Gr79_PR12_PM134_BF6_BG14_BR10_BH3_BV2.8_FR13_FG33_FH8_FV0.2_IF3_IG0_IR11_IH66_IV2.3.csv,10,0,79,12,134,6,14,10,3,2.8,13,33,8,0.2,999.0,0.0,0.0,0.0,2939.0,6530.0,0.0,756.0,11328.0,0
Run_S10_PT0_Gr80_PR10_PM160_BF4_BG9_BR9_BH13_BV0.4_FR17_FG48_FH91_FV1.7_IF9_IG5_IR9_IH82_IV0.6.csv,10,0,80,10,160,4,9,9,13,0.4,17,48,91,1.7,999.0,0.0,0.0,0.0,2976.0,3691.0,0.0,924.0,6634.0,0
Run_S10_PT0_Gr81_PR11_PM125_BF6_BG14_BR11_BH15_BV2.8_FR14_FG38_FH61_FV2.7_IF4_IG16_IR9_IH66_IV2.3.csv,10,0,81,11,125,6,14,11,15,2.8,14,38,61,2.7,999.0,0.0,0.0,0.0,3014.0,3777.0,0.0,693.0,6138.0,0
Run_S10_PT0_Gr93_PR15_PM76_BF4_BG11_BR16_BH9_BV0.2_FR14_FG41_FH27_FV1.7_IF8_IG12_IR11_IH54_IV2.9.csv,10,0,93,15,76,4,11,16,9,0.2,14,41,27,1.7,999.0,45.0,0.0,346.0,3079.7,13788.0,0.0,2291.0,23295.0,2
Run_S10_PT0_Gr98_PR12_PM146_BF3_BG13_BR13_BH7_BV1.2_FR24_FG12_FH22_FV0.2_IF8_IG13_IR15_IH92_IV3.0.csv,10,0,98,12,146,3,13,13,7,1.2,24,12,22,0.2,999.0,3397.0,0.0,758.0,105.32,81940.0,0.0,11882.0,25846.0,2
