Tick,Bandicoots,Invaders,Foxes,Grass_Health_Index,Total_Bandicoots_Eaten,Trap_Deaths,Old_Age_Deaths,Hunger_Deaths
0,223,0,201,2600.67,16,2,0,0
1,202,0,204,2535.25,54,5,4,1
2,193,0,200,2515.33,77,9,9,4
3,192,0,203,2473.66,90,12,16,4
4,187,0,198,2461.79,110,15,25,6
5,173,0,200,2436.68,133,18,30,7
6,165,0,204,2419.21,149,18,30,9
7,167,0,203,2405.95,159,23,38,11
8,152,0,206,2386.94,176,28,41,13
9,143,0,210,2381.79,190,29,43,13
10,141,0,219,2364.41,197,29,44,13
11,139,0,219,2355.6,208,30,46,14
12,131,0,223,2334.34,221,31,48,15
13,131,0,221,2326.76,228,35,50,16
14,119,0,217,2325.07,241,38,55,16
15,109,0,211,2315.69,252,45,58,19
16,100,0,206,2311.05,262,48,61,23
17,95,0,204,2310.93,268,51,63,28
18,90,0,195,2309.67,275,52,67,37
19,87,0,191,2304.1,281,53,68,43
20,82,0,185,2301.34,289,55,70,49
21,80,0,178,2302.25,293,57,74,56
22,78,0,172,2301.99,298,62,78,61
23,74,0,165,2302.05,303,66,79,67
24,68,0,154,2302.1,310,68,81,78
25,60,0,150,2306.68,317,69,83,83
26,57,0,147,2311.32,322,70,83,88
27,56,0,141,2313.36,324,73,84,93
28,55,0,143,2320.13,326,73,85,95
29,52,0,135,2328.09,328,77,87,101
30,49,0,126,2325.77,333,82,91,103
31,44,0,124,2331.76,338,83,93,104
32,41,0,117,2336.9,341,86,94,108
33,39,0,112,2348.37,341,89,97,112
34,36,0,104,2352.6,343,93,101,113
35,33,0,98,2357.15,345,94,104,116
36,34,0,97,2364.37,346,94,106,117
37,34,0,89,2368.83,346,95,110,121
38,34,0,80,2375.74,348,96,114,125
39,29,0,77,2383.75,352,96,115,129
40,29,0,71,2391.33,353,98,115,133
41,26,0,66,2401.2,357,99,116,137
42,25,0,64,2412.78,358,100,116,139
43,28,0,61,2425.26,358,101,117,140
44,28,0,52,2430.45,358,103,117,148
45,29,0,43,2438.36,358,103,118,157
46,28,0,43,2443.4,360,103,118,158
47,27,0,37,2451.72,361,103,121,163
48,25,0,36,2462.31,363,104,121,165
49,24,0,35,2467.19,364,105,121,167
50,27,0,33,2478.64,364,105,122,168
51,28,0,30,2487.16,364,106,124,168
52,25,0,29,2494.14,367,106,124,170
53,24,0,27,2501.73,369,106,125,172
54,23,0,24,2509.91,370,106,127,173
55,23,0,24,2519.14,370,106,128,173
56,23,0,23,2527.7,370,106,128,174
57,23,0,23,2537.55,371,106,128,174
58,22,0,21,2548.69,371,106,128,177
59,25,0,19,2551.11,371,107,128,178
60,24,0,19,2564.07,372,107,129,178
61,22,0,17,2572.71,374,107,130,180
62,22,0,15,2583.65,374,108,130,182
63,22,0,13,2588.65,374,108,130,184
64,22,0,14,2597.89,374,108,130,184
65,22,0,13,2606.17,374,108,130,185
66,22,0,10,2614.89,374,108,131,187
67,22,0,10,2623.41,374,108,131,187
68,23,0,10,2629.9,374,108,131,187
69,25,0,9,2638.3,374,109,131,187
70,25,0,7,2641.98,374,109,132,188
71,25,0,7,2650.86,374,109,132,188
72,26,0,6,2656.54,374,109,132,189
73,26,0,6,2664.31,374,109,132,189
74,28,0,5,2667.91,374,109,132,190
75,28,0,4,2675.87,374,110,132,190
76,29,0,4,2683.63,374,110,132,191
77,30,0,4,2684.19,374,110,132,191
78,30,0,3,2686.39,374,110,133,191
79,31,0,3,2690.91,374,110,133,191
80,31,0,3,2695.91,374,110,133,191
81,32,0,2,2703.71,374,110,133,192
82,32,0,2,2707.83,374,110,133,192
83,33,0,2,2712.07,374,110,133,192
84,36,0,2,2715.03,374,110,133,192
85,37,0,1,2717.43,374,110,133,193
86,37,0,0,2718.43,374,110,133,194
87,38,0,0,2722.39,374,110,133,194
88,38,0,0,2724.71,374,110,133,194
89,38,0,0,2727.75,374,110,133,194
90,39,0,0,2732.36,374,110,133,194
91,38,0,0,2734.36,374,111,133,194
92,39,0,0,2737.64,374,111,133,195
93,41,0,0,2739.48,374,111,133,195
94,43,0,0,2738.76,374,111,133,195
95,46,0,0,2738.88,374,111,133,195
96,47,0,0,2742.48,374,111,133,195
97,46,0,0,2745.48,374,111,134,195
98,47,0,0,2743.88,374,111,134,195
99,49,0,0,2742.88,374,111,134,195
100,53,0,0,2745.16,374,111,134,195
101,55,0,0,2743.12,374,111,134,196
102,55,0,0,2742.36,374,111,135,196
